cell_id,label
62_218,0
527_1427,0
813_1458,0
130_1126,0
945_584,0
15_652,0
101_401,0
125_958,0
93_428,0
246_43,0
452_529,0
589_500,0
854_858,0
721_1282,0
856_1274,0
826_1489,0
851_953,0
1152_1100,0
965_975,0
1139_1010,0
1010_457,0
955_518,0
870_1438,0
659_1047,0
338_1072,0
946_1451,0
244_1007,0
665_191,0
559_826,0
1140_819,0
681_945,0
1200_189,0
947_1256,0
12_491,0
663_192,0
559_258,0
685_1307,0
274_964,0
273_611,0
443_1108,0
225_41,0
745_976,0
691_421,0
601_1652,0
1045_181,0
651_1624,0
1166_1256,0
40_15,0
318_526,0
5_1571,0
296_126,0
360_1070,0
717_222,0
158_1490,0
1193_167,0
370_476,0
535_207,0
346_836,0
356_608,0
295_704,0
453_1353,0
949_926,0
67_1132,0
1016_619,0
1094_201,0
688_1556,0
496_1659,0
991_998,0
456_342,0
820_1220,0
939_320,0
816_878,0
772_208,0
626_533,0
224_1401,0
801_438,0
492_301,0
807_217,0
33_13,0
429_1090,0
92_891,0
964_1058,0
657_85,0
209_1184,0
94_580,0
629_1017,0
475_1305,0
272_1254,0
788_1433,0
540_1507,0
480_1139,0
639_1151,0
264_1413,0
938_1636,0
256_1265,0
683_1168,0
527_361,0
252_875,0
677_822,0
1046_1566,0
44_843,0
406_456,0
202_1269,0
112_1345,0
458_197,0
472_104,0
953_463,0
992_1158,0
13_1255,0
875_51,0
306_907,0
44_642,0
419_1157,0
840_198,0
398_612,0
191_1609,0
987_224,0
813_1533,0
263_1026,0
372_119,0
1045_618,0
932_842,0
126_1544,0
871_353,0
668_1439,0
677_766,0
686_1225,0
716_753,0
464_214,0
394_1503,0
386_685,0
41_966,0
1068_486,0
395_1491,0
169_250,0
1169_1408,0
1135_1482,0
918_987,0
495_1418,0
338_1654,0
20_1290,0
1003_1062,0
548_1170,0
1011_1108,0
719_1244,0
603_1213,0
670_1073,0
858_291,0
1046_339,0
449_1054,0
915_1203,0
70_593,0
244_467,0
398_393,0
227_1644,0
650_1051,0
283_1342,0
47_1039,0
1050_1612,0
1016_1253,0
639_392,0
406_394,0
477_1226,0
652_418,0
698_299,0
181_409,0
302_1466,0
524_1025,0
940_32,0
222_1036,0
4_988,0
262_1643,0
460_1285,0
512_511,0
919_1247,0
141_1564,0
792_684,0
177_441,0
1123_1591,0
766_129,0
246_1003,0
938_1524,0
499_1383,0
175_1422,0
509_731,0
397_969,0
1101_1475,0
662_496,0
289_1159,0
270_329,0
338_924,0
1068_1321,0
846_1668,0
83_532,0
970_131,0
156_103,0
964_258,0
156_878,0
466_1167,0
709_331,0
919_189,0
188_63,0
179_393,0
666_786,0
355_852,0
740_937,0
424_174,0
761_541,0
226_699,0
999_1162,0
942_891,0
334_764,0
199_995,0
33_708,0
1083_1321,0
104_1297,0
614_1649,0
398_636,0
313_1582,0
1032_360,0
828_97,0
760_1007,0
798_1474,0
1166_1096,0
553_61,0
427_810,0
283_1089,0
348_1302,0
624_377,0
44_1523,0
1148_459,0
898_1638,0
702_1183,0
1009_1179,0
784_1110,0
399_176,0
199_37,0
457_503,0
931_659,0
300_218,0
655_1178,0
31_1025,0
751_60,0
493_355,0
741_276,0
221_1601,0
384_1393,0
860_1568,0
413_847,0
661_1267,0
706_75,0
396_198,0
966_677,0
331_1374,0
452_784,0
699_780,0
185_39,0
1092_1117,0
237_46,0
382_638,0
231_1310,0
236_1344,0
505_647,0
426_780,0
870_1206,0
1050_433,0
355_106,0
707_586,0
914_1536,0
792_1040,0
1014_1107,0
623_1379,0
250_1510,0
360_264,0
206_1313,0
459_1218,0
114_1106,0
266_545,0
750_433,0
278_421,0
1082_1567,0
279_1125,0
728_350,0
693_857,0
734_749,0
364_545,0
258_678,0
228_721,0
394_1262,0
975_590,0
860_566,0
1025_201,0
1052_1614,0
564_748,0
189_1397,0
857_241,0
194_1163,0
890_1332,0
383_922,0
363_966,0
209_1337,0
830_286,0
714_190,0
492_909,0
814_1408,0
176_65,0
875_1630,0
780_730,0
32_1418,0
1162_368,0
860_711,0
675_428,0
122_433,0
877_1645,0
817_215,0
679_1526,0
333_646,0
110_97,0
666_1210,0
1151_1077,0
645_173,0
206_941,0
688_1616,0
917_1139,0
656_324,0
316_50,0
1192_259,0
213_922,0
1016_443,0
80_1256,0
654_952,0
264_864,0
691_75,0
1138_1485,0
198_373,0
240_1004,0
688_1274,0
302_874,0
315_1482,0
93_93,0
27_1200,0
531_260,0
29_729,0
282_49,0
600_634,0
765_413,0
1039_973,0
23_244,0
173_1302,0
472_500,0
1034_1025,0
410_712,0
472_912,0
508_1254,0
594_452,0
831_375,0
740_137,0
597_841,0
911_877,0
913_280,0
745_561,0
815_14,0
1007_87,0
539_999,0
110_951,0
993_19,0
398_724,0
450_1086,0
1078_1103,0
617_1559,0
51_1520,0
1177_1024,0
980_1051,0
413_231,0
1050_1505,0
954_842,0
118_1383,0
771_992,0
97_1012,0
426_225,0
610_1049,0
856_1234,0
245_766,0
544_1333,0
568_890,0
338_1406,0
1026_1319,0
1180_41,0
882_411,0
31_874,0
1051_1104,0
620_413,0
286_916,0
1109_1267,0
287_915,0
894_251,0
464_647,0
435_1590,0
601_1438,0
149_687,0
138_675,0
154_105,0
1111_515,0
52_235,0
969_529,0
821_178,0
604_932,0
301_865,0
660_681,0
1082_1562,0
150_686,0
877_266,0
420_476,0
1074_637,0
1170_1438,0
244_1230,0
396_1282,0
590_952,0
373_717,0
924_413,0
1008_81,0
497_916,0
182_1213,0
1086_1067,0
179_140,0
218_793,0
974_800,0
160_1535,0
209_1258,0
225_934,0
1091_321,0
561_186,0
10_680,0
1020_1076,0
292_192,0
533_95,0
204_786,0
335_896,0
765_1047,0
150_1110,0
62_1076,0
909_849,0
1182_108,0
39_194,0
523_1106,0
594_1271,0
1097_795,0
275_1336,0
628_1374,0
1110_199,0
1121_1124,0
384_549,0
491_1386,0
1109_795,0
675_1528,0
102_1442,0
784_1298,0
549_640,0
948_1238,0
1058_278,0
338_294,0
53_566,0
1181_470,0
111_1425,0
957_127,0
535_1337,0
44_777,0
520_446,0
1146_1185,0
539_87,0
627_1306,0
542_1302,0
699_342,0
16_317,0
802_101,0
142_942,0
183_57,0
400_148,0
542_1519,0
314_1575,0
925_829,0
676_677,0
427_1149,0
328_1011,0
681_1322,0
937_490,0
919_1636,0
358_1363,0
641_823,0
854_110,0
1077_1335,0
258_206,0
391_315,0
708_52,0
337_820,0
825_466,0
988_92,0
283_447,0
814_1297,0
202_1166,0
3_1656,0
535_1002,0
301_14,0
751_145,0
732_689,0
508_349,0
1059_152,0
521_736,0
1111_1100,0
645_138,0
733_1560,0
1026_880,0
736_1158,0
53_801,0
1066_289,0
1001_1328,0
17_355,0
321_1016,0
957_226,0
132_516,0
441_401,0
1026_1098,0
368_829,0
577_896,0
807_722,0
258_1217,0
925_376,0
1163_290,0
566_970,0
993_1052,0
165_1205,0
527_479,0
799_786,0
171_726,0
664_552,0
163_823,0
944_107,0
842_1240,0
638_1523,0
587_470,0
223_591,0
388_927,0
1043_279,0
869_1488,0
982_1047,0
611_737,0
607_142,0
20_1453,0
447_1052,0
910_140,0
51_586,0
216_668,0
927_1239,0
703_654,0
899_1425,0
682_889,0
360_519,0
1104_399,0
1057_120,0
690_1038,0
85_1002,0
848_85,0
1083_787,0
1100_1252,0
856_147,0
887_1019,0
476_163,0
105_74,0
1172_572,0
1124_781,0
1107_500,0
315_269,0
558_1664,0
899_269,0
59_1544,0
878_1496,0
62_993,0
940_1007,0
407_1330,0
87_1024,0
451_746,0
634_1356,0
559_21,0
394_671,0
1057_918,0
186_772,0
593_607,0
1016_1530,0
140_27,0
214_923,0
678_1443,0
958_779,0
1123_788,0
997_899,0
96_631,0
102_554,0
712_482,0
316_298,0
134_1295,0
159_757,0
463_1201,0
1029_1610,0
162_836,0
739_864,0
912_1617,0
888_1672,0
15_1456,0
450_532,0
69_27,0
1107_88,0
713_1038,0
1041_497,0
167_997,0
363_189,0
811_613,0
1087_1067,0
703_1649,0
1196_88,0
684_539,0
1165_587,0
945_33,0
1087_302,0
1167_1345,0
597_790,0
536_1256,0
649_1368,0
107_1391,0
590_1117,0
1103_337,0
592_748,0
741_64,0
296_640,0
84_1435,0
312_903,0
282_1317,0
457_1000,0
1167_1471,0
1088_1411,0
723_1336,0
694_1647,0
927_907,0
1107_435,0
872_911,0
780_1405,0
61_1203,0
396_1560,0
1036_471,0
875_463,0
770_182,0
